protocol: R<x0>,<y0>,<spd0>,<res0>,<x1>,<y1>,<spd1>,<res1>,<x2>,<y2>,<spd2>,<res2>,<ts_ms>,<frame_id> per target frame<\r><\n>
Start<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,41978,472<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,42068,473<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,42156,474<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,42245,475<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,42334,476<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,42423,477<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,42512,478<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,42601,479<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,42690,480<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,42779,481<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,42868,482<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,42957,483<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,43047,484<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,43135,485<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,43224,486<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,43313,487<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,43402,488<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,43491,489<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,43580,490<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,43669,491<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,43758,492<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,43847,493<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,43936,494<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,44025,495<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,44114,496<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,44203,497<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,44292,498<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,44381,499<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,44470,500<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,44559,501<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,44648,502<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,44737,503<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,44826,504<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,44915,505<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,45004,506<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,45093,507<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,45182,508<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,45271,509<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,45360,510<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,45449,511<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,45538,512<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,45627,513<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,45716,514<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,45805,515<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,45894,516<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,45983,517<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,46072,518<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,46161,519<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,46250,520<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,46339,521<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,46428,522<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,46517,523<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,46606,524<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,46695,525<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,46784,526<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,46873,527<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,46962,528<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,47051,529<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,47140,530<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,47229,531<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,47318,532<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,47407,533<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,47496,534<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,47585,535<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,47674,536<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,47763,537<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,47852,538<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,47941,539<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,48030,540<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,48119,541<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,48208,542<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,48297,543<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,48385,544<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,48475,545<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,48563,546<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,48653,547<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,48741,548<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,48830,549<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,48920,550<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,49009,551<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,49097,552<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,49186,553<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,49276,554<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,49364,555<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,49453,556<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,49543,557<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,49631,558<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,49720,559<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,49809,560<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,49898,561<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,49988,562<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,50076,563<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,50165,564<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,50254,565<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,50343,566<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,50432,567<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,50521,568<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,50610,569<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,50699,570<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,50788,571<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,50877,572<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,50966,573<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,51055,574<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,51144,575<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,51233,576<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,51322,577<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,51411,578<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,51500,579<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,51589,580<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,51678,581<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,51767,582<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,51856,583<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,51945,584<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,52034,585<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,52123,586<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,52212,587<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,52301,588<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,52390,589<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,52479,590<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,52568,591<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,52657,592<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,52746,593<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,52835,594<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,52924,595<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,53013,596<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,53102,597<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,53191,598<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,53280,599<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,53369,600<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,53458,601<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,53547,602<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,53636,603<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,53725,604<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,53814,605<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,53903,606<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,53992,607<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,54081,608<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,54170,609<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,54259,610<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,54348,611<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,54437,612<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,54526,613<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,54615,614<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,54704,615<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,54793,616<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,54882,617<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,54971,618<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,55060,619<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,55149,620<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,55238,621<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,55327,622<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,55416,623<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,55505,624<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,55594,625<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,55683,626<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,55772,627<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,55861,628<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,55950,629<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,56039,630<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,56128,631<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,56216,632<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,56306,633<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,56395,634<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,56483,635<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,56573,636<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,56662,637<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,56751,638<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,56839,639<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,56928,640<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,57017,641<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,57107,642<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,57196,643<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,57284,644<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,57374,645<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,57462,646<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,57552,647<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,57640,648<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,57730,649<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,57818,650<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,57907,651<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,57996,652<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,58085,653<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,58174,654<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,58263,655<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,58352,656<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,58441,657<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,58530,658<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,58619,659<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,58708,660<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,58797,661<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,58886,662<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,58975,663<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,59064,664<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,59153,665<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,59242,666<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,59331,667<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,59420,668<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,59509,669<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,59598,670<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,59687,671<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,59776,672<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,59865,673<\r><\n>
R0,0,0,0,0,0,0,0,0,0,0,0,59954,674<\r><\n>
Stop<\r><\n>
