R-364,1288,0,360,0,0,0,0,0,0,0,0,280603,3153
R-385,1283,0,360,0,0,0,0,0,0,0,0,280692,3154
R-400,1279,0,360,0,0,0,0,0,0,0,0,280781,3155
R-412,1276,0,360,0,0,0,0,0,0,0,0,280870,3156
R-422,1274,0,360,0,0,0,0,0,0,0,0,280959,3157
R-432,1272,0,360,0,0,0,0,0,0,0,0,281047,3158
R-441,1271,0,360,0,0,0,0,0,0,0,0,281136,3159
R-449,1270,0,360,0,0,0,0,0,0,0,0,281226,3160
R-456,1269,0,360,0,0,0,0,0,0,0,0,281314,3161
R-461,1269,0,360,0,0,0,0,0,0,0,0,281403,3162
R-464,1269,0,360,0,0,0,0,0,0,0,0,281492,3163
R-462,1271,0,360,0,0,0,0,0,0,0,0,281581,3164
R-456,1273,0,360,0,0,0,0,0,0,0,0,281670,3165
R-448,1277,0,360,0,0,0,0,0,0,0,0,281759,3166
R-439,1284,0,360,0,0,0,0,0,0,0,0,281848,3167
R-429,1292,0,360,0,0,0,0,0,0,0,0,281937,3168
R-416,1299,0,360,0,0,0,0,0,0,0,0,282026,3169
R-401,1304,0,360,0,0,0,0,0,0,0,0,282115,3170
R-388,1306,0,360,0,0,0,0,0,0,0,0,282204,3171
R-376,1306,0,360,0,0,0,0,0,0,0,0,282293,3172
R-365,1305,0,360,0,0,0,0,0,0,0,0,282382,3173
R-356,1304,0,360,0,0,0,0,0,0,0,0,282471,3174
R-348,1303,0,360,0,0,0,0,0,0,0,0,282560,3175
R-340,1303,0,360,0,0,0,0,0,0,0,0,282650,3176
R-333,1304,0,360,0,0,0,0,0,0,0,0,282738,3177
R-326,1304,0,360,0,0,0,0,0,0,0,0,282827,3178
R-321,1304,0,360,0,0,0,0,0,0,0,0,282916,3179
R-316,1304,0,360,0,0,0,0,0,0,0,0,283005,3180
R-311,1304,0,360,0,0,0,0,0,0,0,0,283094,3181
R-307,1304,0,360,0,0,0,0,0,0,0,0,283183,3182
R-303,1304,0,360,0,0,0,0,0,0,0,0,283272,3183
R-300,1304,0,360,0,0,0,0,0,0,0,0,283361,3184
R-297,1304,0,360,0,0,0,0,0,0,0,0,283450,3185
R-294,1305,0,360,0,0,0,0,0,0,0,0,283539,3186
R-292,1306,0,360,0,0,0,0,0,0,0,0,283628,3187
R-289,1307,0,360,0,0,0,0,0,0,0,0,283717,3188
R-286,1308,0,360,0,0,0,0,0,0,0,0,283806,3189
R-283,1309,0,360,0,0,0,0,0,0,0,0,283895,3190
R-280,1310,0,360,0,0,0,0,0,0,0,0,283984,3191
R-277,1312,0,360,0,0,0,0,0,0,0,0,284073,3192
